"Actions","Actions"
"Add a guest","Ajout d’un participant"
"Add a status","Ajout d’un statut"
"Add an event","Ajout d’un événement"
"An error has occurred","Une erreur est survenue"
"Are you sure?","Êtes vous sûr?"
"back","retour"
"Can’t delete a status assigned to an existing event","Impossible de supprimer un statut assigné à un événement existant"
"Color","Couleur"
"Configuration of guests","Configuration des participants"
"Configuration of statuses","Configuration des statuts"
"Create","Créer"
"Date","Date"
"delete","supprimer"
"Description","Description"
"Details","Détails"
"edit","modifier"
"Email","Email"
"End date","Date de fin"
"End time","Heure de fin"
"Event","Événement"
"Everyone participated","Tout le monde a participé"
"Filter events from title","Filtrer les événements depuis le titre"
"Guest","Participant"
"Guests","Participants"
"Home","Accueil"
"if needed","si besoin"
"Label","Label"
"List of events","Liste des événements"
"List of guests","Liste des participants"
"List of statuses","Liste des statuts"
"My participation","Ma participation"
"Name","Nom"
"New event","Nouvel événement"
"New guest","Nouveau participant"
"New status","Nouveau statut"
"No events","Pas d’événements"
"No guests","Pas de participants"
"No statuses","Pas de statuts"
"no","non"
"participate","participer"
"Participation","Participation"
"Quit admin mode","Quitter le mode admin"
"Save","Sauvegarder"
"See past events","Voir les événements passés"
"Start date","Date de début"
"Start time","Heure de début"
"Status","Statut"
"Statuses","Statuts"
"This field cannot be blank as end date is filled","Ce champ ne peut pas être vide car la date de fin a été remplie"
"This field cannot be blank as end time is filled","Ce champ ne peut pas être vide car l’heure de fin a été remplie"
"This field cannot be blank","Ce champ ne peut pas être vide"
"This field is invalid","Ce champ est invalide"
"This field is not a valid date","Ce champ n’est pas une date valide"
"This field is not a valid email","Ce champ n’est pas un email valide"
"This field is not a valid integer","Ce champ n’est pas un nombre entier"
"This field is not a valid time","Ce champ n’est pas un horaire valide"
"Time","Heure"
"Title","Titre"
"Who are you?","Qui es-tu ?"
"yes","oui"
